"File","Region","Cor","Cor_p_fdr","Partial_cor","Partial_cor_p_fdr","Significant_Type","Effect_Size_Direct","Effect_Size_Partial","Max_Correlation","Primary_Effect","Overall_Effect_Size"
"SW_zscore_rx2_back_r-0.05","SW_F_Cal_ant__Sc_Cal__left_merged_with_TIV",0.286563611263246,6.73487455687142e-06,0.285354647733607,8.67354016775921e-06,"Both_Significant","Small","Small",0.286563611263246,"Direct","Small"
"CT_zscore_rx2_back_r-0.05","CT_F_Cal_ant__Sc_Cal__left_merged_with_TIV",-0.281892789562413,1.07165203375772e-05,-0.276988363180113,1.9583848320859e-05,"Both_Significant","Small","Small",0.281892789562413,"Direct","Small"
"SW_zscore_rx2_back_r-0.05","SW_S_Li_post__left_merged_with_TIV",0.275284232731885,1.47283004261254e-05,0.274933205557419,1.72023733321838e-05,"Both_Significant","Small","Small",0.275284232731885,"Direct","Small"
"maxDTIV_zscore_rx2_back_r-0.05","maxD_TIV_adjusted_S_Li_post__left_merged_with_TIV",0.258837624743941,0.000161661741097227,0.258839271557542,0.000180202235451117,"Both_Significant","Small","Small",0.258839271557542,"Partial","Small"
"CT_zscore_rx2_back_r-0.05","CT_F_C_M_ant__left_merged_with_TIV",-0.243573293645521,0.000159429161292028,-0.242244720363606,0.00025275298543238,"Both_Significant","Small","Small",0.243573293645521,"Direct","Small"
"CT_zscore_rx2_back_r-0.05","CT_OCCIPITAL_left_merged_with_TIV",-0.237332135538921,0.000159429161292028,-0.227947457195371,0.000364700326013997,"Both_Significant","Small","Small",0.237332135538921,"Direct","Small"
"CT_zscore_rx2_back_r-0.05","CT_S_T_i__left_merged_with_TIV",-0.236505989045931,0.000159429161292028,-0.235486767395365,0.00025275298543238,"Both_Significant","Small","Small",0.236505989045931,"Direct","Small"
"SLTIV_zscore_rx2_back_r-0.05","SL_TIV_adjusted_S_Li_post__left_merged_with_TIV",0.230886483097393,0.0015484143628328,0.231173112530568,0.00165268009079789,"Both_Significant","Small","Small",0.231173112530568,"Partial","Small"
"CT_zscore_rx2_back_r-0.05","CT_S_Cu__left_merged_with_TIV",-0.220680511092323,0.000469190278598323,-0.220089214423746,0.000530916386964397,"Both_Significant","Small","Small",0.220680511092323,"Direct","Small"
"CT_zscore_rx2_back_r-0.05","CT_S_Or__left_merged_with_TIV",-0.214009179238979,0.000596902422919739,-0.20831668808444,0.000927937755819888,"Both_Significant","Small","Small",0.214009179238979,"Direct","Small"
