"File","Region","Cor","Cor_p_fdr","Partial_cor","Partial_cor_p_fdr","Significant_Type","Effect_Size_Direct","Effect_Size_Partial","Max_Correlation","Primary_Effect","Overall_Effect_Size"
"SW_attention_O_r-0.06","SW_S_F_orbitaire__left_merged_with_TIV",0.248855989540224,0.000716768863277187,0.252763438943776,0.000600253132236868,"Both_Significant","Small","Small",0.252763438943776,"Partial","Small"
"SW_attention_O_r-0.06","SW_F_P_O__left_merged_with_TIV",-0.224495454068334,0.000716768863277187,-0.231903909347619,0.000600253132236868,"Both_Significant","Small","Small",0.231903909347619,"Partial","Small"
"meanDTIV_attention_O_r-0.06","meanD_TIV_adjusted_S_Cu__left_merged_with_TIV",0.225290196958603,0.00169449466053098,0.225709437200088,0.00178227245470953,"Both_Significant","Small","Small",0.225709437200088,"Partial","Small"
"SLTIV_attention_O_r-0.06","SL_TIV_adjusted_S_F_orbitaire__left_merged_with_TIV",-0.216102381054691,0.00783871082005291,-0.222133268659942,0.00588244552797867,"Both_Significant","Small","Small",0.222133268659942,"Partial","Small"
"meanDTIV_attention_O_r-0.06","meanD_TIV_adjusted_S_Li_post__left_merged_with_TIV",-0.17347421202782,0.0370898854550138,-0.204022382088214,0.00594990123295283,"Both_Significant","Small","Small",0.204022382088214,"Partial","Small"
"SLTIV_attention_O_r-0.06","SL_TIV_adjusted_S_F_inf__left_merged_with_TIV",-0.201135322623784,0.0067909536940807,-0.195757931877248,0.00588244552797867,"Both_Significant","Small","Small",0.201135322623784,"Direct","Small"
"SATIV_attention_O_r-0.06","SA_TIV_adjusted_S_T_i__left_merged_with_TIV",0.185418078098184,0.0195557237761412,0.196163602642232,0.0130134486684803,"Both_Significant","Small","Small",0.196163602642232,"Partial","Small"
"SATIV_attention_O_r-0.06","SA_TIV_adjusted_S_F_inf__left_merged_with_TIV",-0.175423591492939,0.0195557237761412,-0.171793071387697,0.0258245255416218,"Both_Significant","Small","Small",0.175423591492939,"Direct","Small"
"SLTIV_attention_O_r-0.06","SL_TIV_adjusted_S_T_i__left_merged_with_TIV",0.15586023320748,0.0494314691564345,0.167622388477522,0.0263902221153156,"Both_Significant","Small","Small",0.167622388477522,"Partial","Small"
"meanDTIV_attention_O_r-0.06","meanD_TIV_adjusted_S_F_sup__left_merged_with_TIV",-0.158829055858044,0.039153939088839,-0.158949986931347,0.0392997842860382,"Both_Significant","Small","Small",0.158949986931347,"Partial","Small"
"meanDTIV_attention_O_r-0.06","meanD_TIV_adjusted_S_Pa_int__left_merged_with_TIV",-0.157372906531195,0.039153939088839,-0.158077859942637,0.0392997842860382,"Both_Significant","Small","Small",0.158077859942637,"Partial","Small"
