"File","Region","Cor","Cor_p_fdr","Partial_cor","Partial_cor_p_fdr","Significant_Type","Effect_Size_Direct","Effect_Size_Partial","Max_Correlation","Primary_Effect","Overall_Effect_Size"
"SATIV_attention_A_r-0.02","SA_TIV_adjusted_S_F_orbitaire__left_merged_with_TIV",0.220503005031298,0.00299848194470016,0.260513876620069,0.000458085721420554,"Both_Significant","Small","Small",0.260513876620069,"Partial","Small"
"SLTIV_attention_A_r-0.02","SL_TIV_adjusted_S_F_orbitaire__left_merged_with_TIV",0.22335451767671,0.0100546687346817,0.253777651376471,0.00147777207009193,"Both_Significant","Small","Small",0.253777651376471,"Partial","Small"
"maxDTIV_attention_A_r-0.02","maxD_TIV_adjusted_F_I_P_r_int_2_left_merged_with_TIV",0.252006917602434,0.00179205794783568,0.227714890049529,0.00959803419519775,"Both_Significant","Small","Small",0.252006917602434,"Direct","Small"
"CT_attention_A_r-0.02","CT_S_F_orbitaire__left_merged_with_TIV",0.207526860148157,0.00957775393948884,0.233488401114928,0.0045451709852701,"Both_Significant","Small","Small",0.233488401114928,"Partial","Small"
"SATIV_attention_A_r-0.02","SA_TIV_adjusted_F_I_P_r_int_2_left_merged_with_TIV",0.23185694639806,0.00226477616693999,0.208014751805648,0.00765741727207263,"Both_Significant","Small","Small",0.23185694639806,"Direct","Small"
"SATIV_attention_A_r-0.02","SA_TIV_adjusted_S_C__left_merged_with_TIV",-0.20462132243008,0.00226477616693999,-0.229620724308357,0.000458085721420554,"Both_Significant","Small","Small",0.229620724308357,"Partial","Small"
"SATIV_attention_A_r-0.02","SA_TIV_adjusted_S_F_sup__left_merged_with_TIV",0.21871266885907,0.00226477616693999,0.227696590380812,0.000468721800146119,"Both_Significant","Small","Small",0.227696590380812,"Partial","Small"
"SLTIV_attention_A_r-0.02","SL_TIV_adjusted_F_I_P_r_int_2_left_merged_with_TIV",0.196840153946532,0.0176760861513657,0.179956632362371,0.0269246856551515,"Both_Significant","Small","Small",0.196840153946532,"Direct","Small"
"CT_attention_A_r-0.02","CT_F_C_M_post__left_merged_with_TIV",0.194402685802735,0.00950426172074507,0.190455649268954,0.00667195168822217,"Both_Significant","Small","Small",0.194402685802735,"Direct","Small"
"SLTIV_attention_A_r-0.02","SL_TIV_adjusted_S_F_sup__left_merged_with_TIV",0.189239454505998,0.0103315794540498,0.185974486459567,0.0135282819569531,"Both_Significant","Small","Small",0.189239454505998,"Direct","Small"
"maxDTIV_attention_A_r-0.02","maxD_TIV_adjusted_S_F_orbitaire__left_merged_with_TIV",0.137956829879498,0.157672206901238,0.187719212739136,0.0305749831688907,"Partial_Correlation_Significant","Small","Small",0.187719212739136,"Partial","Small"
"meanDTIV_attention_A_r-0.02","meanD_TIV_adjusted_S_Li_ant__left_merged_with_TIV",-0.156218235624767,0.0673672196484526,-0.187283990963733,0.037315050871631,"Partial_Correlation_Significant","Small","Small",0.187283990963733,"Partial","Small"
"CT_attention_A_r-0.02","CT_S_Li_post__left_merged_with_TIV",0.186832444596905,0.00957775393948884,0.176728019136384,0.0187795257859128,"Both_Significant","Small","Small",0.186832444596905,"Direct","Small"
"maxDTIV_attention_A_r-0.02","maxD_TIV_adjusted_S_Li_ant__left_merged_with_TIV",-0.146452315924043,0.157672206901238,-0.171773888987263,0.0305749831688907,"Partial_Correlation_Significant","Small","Small",0.171773888987263,"Partial","Small"
"SW_attention_A_r-0.02","SW_F_P_O__left_merged_with_TIV",-0.171339053977226,0.0489829652347835,-0.16327507820082,0.067262981074236,"Direct_Correlation_Significant","Small","Small",0.171339053977226,"Direct","Small"
"CT_attention_A_r-0.02","CT_S_Olf__left_merged_with_TIV",-0.162495893006832,0.0496217590670037,-0.155463983081968,0.0729900948430395,"Direct_Correlation_Significant","Small","Small",0.162495893006832,"Direct","Small"
"SLTIV_attention_A_r-0.02","SL_TIV_adjusted_F_C_M_post__left_merged_with_TIV",0.156125756201671,0.0318703938118134,0.161589860399172,0.0269246856551515,"Both_Significant","Small","Small",0.161589860399172,"Partial","Small"
"SLTIV_attention_A_r-0.02","SL_TIV_adjusted_S_Olf__left_merged_with_TIV",-0.145867496079212,0.0650597299925018,-0.157977491494425,0.0450136489159266,"Partial_Correlation_Significant","Small","Small",0.157977491494425,"Partial","Small"
"SLTIV_attention_A_r-0.02","SL_TIV_adjusted_S_C__left_merged_with_TIV",-0.143374209496258,0.053336192727636,-0.157509868221723,0.0269246856551515,"Partial_Correlation_Significant","Small","Small",0.157509868221723,"Partial","Small"
