"File","Region","Cor","Cor_p_fdr","Partial_cor","Partial_cor_p_fdr","Significant_Type","Effect_Size_Direct","Effect_Size_Partial","Max_Correlation","Primary_Effect","Overall_Effect_Size"
"meanDTIV_attention_C_r0.17","meanD_TIV_adjusted_F_I_P_r_int_2_left_merged_with_TIV",0.215363302394886,0.00620733594146983,0.307255498355011,2.96135800625071e-05,"Both_Significant","Small","Medium",0.307255498355011,"Partial","Medium"
"SW_attention_C_r0.17","SW_F_I_P_r_int_2_left_merged_with_TIV",-0.305213550932164,2.0112039428373e-05,-0.279476980278651,0.00019549241196149,"Both_Significant","Medium","Small",0.305213550932164,"Direct","Medium"
"meanDTIV_attention_C_r0.17","meanD_TIV_adjusted_S_F_orbitaire__left_merged_with_TIV",0.246461496224681,0.00110786426022881,0.273648732713904,0.000173614202789053,"Both_Significant","Small","Small",0.273648732713904,"Partial","Small"
"SATIV_attention_C_r0.17","SA_TIV_adjusted_F_I_P_r_int_2_left_merged_with_TIV",0.205636828331165,0.0326224418792659,0.230807582310541,0.00792527050570595,"Both_Significant","Small","Small",0.230807582310541,"Partial","Small"
"SW_attention_C_r0.17","SW_S_F_orbitaire__left_merged_with_TIV",-0.206923627476592,0.0111559386524702,-0.229576022718797,0.0029390453174143,"Both_Significant","Small","Small",0.229576022718797,"Partial","Small"
"meanDTIV_attention_C_r0.17","meanD_TIV_adjusted_S_Pe_C__left_merged_with_TIV",0.221283738228898,0.00110786426022881,0.225199640355276,0.000456560741645439,"Both_Significant","Small","Small",0.225199640355276,"Partial","Small"
"maxDTIV_attention_C_r0.17","maxD_TIV_adjusted_S_F_orbitaire__left_merged_with_TIV",0.188575855348701,0.0668747928612203,0.225132338833193,0.00829298380452741,"Partial_Correlation_Significant","Small","Small",0.225132338833193,"Partial","Small"
"SLTIV_attention_C_r0.17","SL_TIV_adjusted_F_C_M_ant__left_merged_with_TIV",-0.201679732627146,0.00890199867320151,-0.22110364679874,0.00233294450492464,"Both_Significant","Small","Small",0.22110364679874,"Partial","Small"
"maxDTIV_attention_C_r0.17","maxD_TIV_adjusted_F_I_P_r_int_2_left_merged_with_TIV",0.153258780134355,0.131917822484476,0.21864368604658,0.00829298380452741,"Partial_Correlation_Significant","Small","Small",0.21864368604658,"Partial","Small"
"CT_attention_C_r0.17","CT_S_Cu__left_merged_with_TIV",0.208908489865981,0.00473309629541309,0.180002354498833,0.0120182979929435,"Both_Significant","Small","Small",0.208908489865981,"Direct","Small"
"meanDTIV_attention_C_r0.17","meanD_TIV_adjusted_F_P_O__left_merged_with_TIV",-0.175560074045974,0.0107335398378389,-0.189187100109566,0.00469923268162441,"Both_Significant","Small","Small",0.189187100109566,"Partial","Small"
"CT_attention_C_r0.17","CT_S_F_inf__left_merged_with_TIV",0.167260231894459,0.0118592842588011,0.181596196509274,0.0120182979929435,"Both_Significant","Small","Small",0.181596196509274,"Partial","Small"
"CT_attention_C_r0.17","CT_S_T_s__left_merged_with_TIV",0.179213349281652,0.0118592842588011,0.167767158535309,0.014277473054946,"Both_Significant","Small","Small",0.179213349281652,"Direct","Small"
"CT_attention_C_r0.17","CT_F_C_M_post__left_merged_with_TIV",0.170663521360881,0.0118592842588011,0.176206638472908,0.0120182979929435,"Both_Significant","Small","Small",0.176206638472908,"Partial","Small"
"CT_attention_C_r0.17","CT_F_I_P__left_merged_with_TIV",0.173056973470566,0.0118592842588011,0.172179286203316,0.014277473054946,"Both_Significant","Small","Small",0.173056973470566,"Direct","Small"
"SW_attention_C_r0.17","SW_S_F_inf__left_merged_with_TIV",-0.150719739320239,0.0526948037872824,-0.171467270328863,0.015936052171135,"Partial_Correlation_Significant","Small","Small",0.171467270328863,"Partial","Small"
"meanDTIV_attention_C_r0.17","meanD_TIV_adjusted_S_C__left_merged_with_TIV",-0.170494732896531,0.0113736336878544,-0.139440736375969,0.0483320918406448,"Both_Significant","Small","Small",0.170494732896531,"Direct","Small"
"CT_attention_C_r0.17","CT_S_F_orbitaire__left_merged_with_TIV",0.154934830312666,0.0381506225313168,0.169237376898774,0.0207968120209783,"Both_Significant","Small","Small",0.169237376898774,"Partial","Small"
"maxDTIV_attention_C_r0.17","maxD_TIV_adjusted_F_Coll__left_merged_with_TIV",0.157960056190718,0.0668747928612203,0.167392870036842,0.0271677287014661,"Partial_Correlation_Significant","Small","Small",0.167392870036842,"Partial","Small"
"CT_attention_C_r0.17","CT_S_F_sup__left_merged_with_TIV",0.143223969853127,0.0343909508262592,0.164969451736803,0.014277473054946,"Both_Significant","Small","Small",0.164969451736803,"Partial","Small"
"CT_attention_C_r0.17","CT_F_Coll__left_merged_with_TIV",0.164688255025079,0.0134608139843467,0.150666129812373,0.0207968120209783,"Both_Significant","Small","Small",0.164688255025079,"Direct","Small"
"CT_attention_C_r0.17","CT_F_P_O__left_merged_with_TIV",0.159076471551487,0.0147253225770379,0.154150235169928,0.0203771067827902,"Both_Significant","Small","Small",0.159076471551487,"Direct","Small"
"SW_attention_C_r0.17","SW_S_O_T_lat__left_merged_with_TIV",-0.126021324166671,0.161608346881397,-0.157724609839466,0.0324944603779891,"Partial_Correlation_Significant","Small","Small",0.157724609839466,"Partial","Small"
"meanDTIV_attention_C_r0.17","meanD_TIV_adjusted_S_T_i__left_merged_with_TIV",-0.127081863337666,0.0805494147605578,-0.153939333724182,0.0343197678252036,"Partial_Correlation_Significant","Small","Small",0.153939333724182,"Partial","Small"
"CT_attention_C_r0.17","CT_F_I_P_r_int_2_left_merged_with_TIV",0.148565630930406,0.0443135355773233,0.114039316826165,0.121275503451571,"Direct_Correlation_Significant","Small","Small",0.148565630930406,"Direct","Small"
"meanDTIV_attention_C_r0.17","meanD_TIV_adjusted_F_I_P__left_merged_with_TIV",0.112423802906715,0.120986315579825,0.146722499696745,0.0405051462628528,"Partial_Correlation_Significant","Small","Small",0.146722499696745,"Partial","Small"
"meanDTIV_attention_C_r0.17","meanD_TIV_adjusted_S_F_inf__left_merged_with_TIV",-0.1459338058391,0.0369787688774841,-0.117527867043999,0.0845811713739799,"Direct_Correlation_Significant","Small","Small",0.1459338058391,"Direct","Small"
"CT_attention_C_r0.17","CT_S_Or__left_merged_with_TIV",0.133573083875276,0.0443135355773233,0.117364407234778,0.07508510009469,"Direct_Correlation_Significant","Small","Small",0.133573083875276,"Direct","Small"
