"File","Region","Cor","Cor_p_fdr","Partial_cor","Partial_cor_p_fdr","Significant_Type","Effect_Size_Direct","Effect_Size_Partial","Max_Correlation","Primary_Effect","Overall_Effect_Size"
"CT_attention_C_r0.17","CT_S_Olf__right_merged_with_TIV",0.264413096904126,8.57384457194713e-05,0.26538304240608,8.81922747732949e-05,"Both_Significant","Small","Small",0.26538304240608,"Partial","Small"
"SW_attention_C_r0.17","SW_F_Coll__right_merged_with_TIV",-0.205792810705064,0.00443814830554043,-0.241485196368137,0.000270255220777187,"Both_Significant","Small","Small",0.241485196368137,"Partial","Small"
"CT_attention_C_r0.17","CT_S_Pa_t__right_merged_with_TIV",0.207837910534417,0.0350310477215017,0.233491791153665,0.0169488697149193,"Both_Significant","Small","Small",0.233491791153665,"Partial","Small"
"SATIV_attention_C_r0.17","SA_TIV_adjusted_S_Pa_int__right_merged_with_TIV",0.198648646713567,0.0120349249374899,0.166515409513884,0.0934647381045423,"Direct_Correlation_Significant","Small","Small",0.198648646713567,"Direct","Small"
"maxDTIV_attention_C_r0.17","maxD_TIV_adjusted_S_Cu__right_merged_with_TIV",0.193065160918002,0.0171016064984207,0.191354982946157,0.0203205886245322,"Both_Significant","Small","Small",0.193065160918002,"Direct","Small"
"CT_attention_C_r0.17","CT_F_C_M_ant__right_merged_with_TIV",0.188678305294826,0.00865944456857103,0.159520358266268,0.0169488697149193,"Both_Significant","Small","Small",0.188678305294826,"Direct","Small"
"CT_attention_C_r0.17","CT_S_O_T_lat__right_merged_with_TIV",0.154792928298056,0.0237959743999636,0.184271200866432,0.00979002206324026,"Both_Significant","Small","Small",0.184271200866432,"Partial","Small"
"meanDTIV_attention_C_r0.17","meanD_TIV_adjusted_S_Call__right_merged_with_TIV",0.183411385700686,0.0228141120080231,0.154277792813003,0.132445673041612,"Direct_Correlation_Significant","Small","Small",0.183411385700686,"Direct","Small"
"CT_attention_C_r0.17","CT_S_F_int__right_merged_with_TIV",0.176727706643869,0.0115498839077539,0.180107945223387,0.00979002206324026,"Both_Significant","Small","Small",0.180107945223387,"Partial","Small"
"CT_attention_C_r0.17","CT_S_T_i__right_merged_with_TIV",0.151894019230117,0.0292043240233916,0.177723028804024,0.010188021958977,"Both_Significant","Small","Small",0.177723028804024,"Partial","Small"
"CT_attention_C_r0.17","CT_OCCIPITAL_right_merged_with_TIV",0.172664889537844,0.0132188220457625,0.164605092091789,0.0169488697149193,"Both_Significant","Small","Small",0.172664889537844,"Direct","Small"
"maxDTIV_attention_C_r0.17","maxD_TIV_adjusted_F_P_O__right_merged_with_TIV",-0.159266271065573,0.0483913445667649,-0.167603668400016,0.0306804713987097,"Both_Significant","Small","Small",0.167603668400016,"Partial","Small"
"CT_attention_C_r0.17","CT_S_Li_ant__right_merged_with_TIV",0.145462581328516,0.0350310477215017,0.139137113315082,0.0488077719228005,"Both_Significant","Small","Small",0.145462581328516,"Direct","Small"
"CT_attention_C_r0.17","CT_S_T_s__right_merged_with_TIV",0.119308558806179,0.0635980167781917,0.145271654488309,0.0297336309742114,"Partial_Correlation_Significant","Small","Small",0.145271654488309,"Partial","Small"
"CT_attention_C_r0.17","CT_F_I_P__right_merged_with_TIV",0.138275482217078,0.0350310477215017,0.141560749434955,0.0313766887866642,"Both_Significant","Small","Small",0.141560749434955,"Partial","Small"
"CT_attention_C_r0.17","CT_S_F_inter__right_merged_with_TIV",0.139810536913024,0.0350310477215017,0.127700013440384,0.0489294395514997,"Both_Significant","Small","Small",0.139810536913024,"Direct","Small"
"CT_attention_C_r0.17","CT_S_F_inf__right_merged_with_TIV",0.132080936348598,0.0437744404251783,0.126836952311783,0.0574427996011021,"Direct_Correlation_Significant","Small","Small",0.132080936348598,"Direct","Small"
"CT_attention_C_r0.17","CT_F_P_O__right_merged_with_TIV",0.131057886828414,0.0376077205345534,0.109166733744549,0.0917412740739919,"Direct_Correlation_Significant","Small","Small",0.131057886828414,"Direct","Small"
