"File","Region","Cor","Cor_p_fdr","Partial_cor","Partial_cor_p_fdr","Significant_Type","Effect_Size_Direct","Effect_Size_Partial","Max_Correlation","Primary_Effect","Overall_Effect_Size"
"maxDTIV_attention_O_r-0.06","maxD_TIV_adjusted_S_Li_ant__right_merged_with_TIV",0.300824822877887,7.5103375082968e-06,0.3038065063923,6.56418082023611e-06,"Both_Significant","Medium","Medium",0.3038065063923,"Partial","Medium"
"maxDTIV_attention_O_r-0.06","maxD_TIV_adjusted_S_F_sup__right_merged_with_TIV",-0.26309538498503,2.64815541900142e-05,-0.260221571237044,3.84927168515674e-05,"Both_Significant","Small","Small",0.26309538498503,"Direct","Small"
"CT_attention_O_r-0.06","CT_S_Or__right_merged_with_TIV",-0.254630287168906,0.000114386942029664,-0.250090955366594,0.000189196206574638,"Both_Significant","Small","Small",0.254630287168906,"Direct","Small"
"meanDTIV_attention_O_r-0.06","meanD_TIV_adjusted_S_Li_ant__right_merged_with_TIV",0.212931781573125,0.00865292885705963,0.222885625766924,0.00478575836692998,"Both_Significant","Small","Small",0.222885625766924,"Partial","Small"
"SLTIV_attention_O_r-0.06","SL_TIV_adjusted_S_F_inter__right_merged_with_TIV",-0.205108049391136,0.0053571729052887,-0.203340097813185,0.00651805756589759,"Both_Significant","Small","Small",0.205108049391136,"Direct","Small"
"SATIV_attention_O_r-0.06","SA_TIV_adjusted_S_Cu__right_merged_with_TIV",-0.195272524708299,0.014775213424133,-0.190768826972663,0.0211052419351356,"Both_Significant","Small","Small",0.195272524708299,"Direct","Small"
"CT_attention_O_r-0.06","CT_S_F_sup__right_merged_with_TIV",-0.187133630535598,0.00906611852033373,-0.183976879897256,0.0118343744250627,"Both_Significant","Small","Small",0.187133630535598,"Direct","Small"
"meanDTIV_attention_O_r-0.06","meanD_TIV_adjusted_S_Pa_int__right_merged_with_TIV",-0.185938300698549,0.0138237458489394,-0.176294940709821,0.0176207301392207,"Both_Significant","Small","Small",0.185938300698549,"Direct","Small"
"SLTIV_attention_O_r-0.06","SL_TIV_adjusted_S_C__right_merged_with_TIV",0.171039024428935,0.0287127689936717,0.184406707289202,0.0131113356167056,"Both_Significant","Small","Small",0.184406707289202,"Partial","Small"
"SATIV_attention_O_r-0.06","SA_TIV_adjusted_S_F_inf__right_merged_with_TIV",0.172950253667013,0.0197742594685249,0.174727092263685,0.0223059960266172,"Both_Significant","Small","Small",0.174727092263685,"Partial","Small"
"meanDTIV_attention_O_r-0.06","meanD_TIV_adjusted_S_O_T_lat__right_merged_with_TIV",-0.165395790538566,0.0237474188657729,-0.173100097577682,0.0176207301392207,"Both_Significant","Small","Small",0.173100097577682,"Partial","Small"
"SATIV_attention_O_r-0.06","SA_TIV_adjusted_S_F_inter__right_merged_with_TIV",-0.171877643131999,0.0197742594685249,-0.167975782505023,0.0223059960266172,"Both_Significant","Small","Small",0.171877643131999,"Direct","Small"
"maxDTIV_attention_O_r-0.06","maxD_TIV_adjusted_S_F_inf__right_merged_with_TIV",0.165261813740221,0.0301011672811815,0.167128632674909,0.0291653775900485,"Both_Significant","Small","Small",0.167128632674909,"Partial","Small"
"maxDTIV_attention_O_r-0.06","maxD_TIV_adjusted_S_Cu__right_merged_with_TIV",-0.160949067039277,0.0301011672811815,-0.160980414663966,0.0313848787157305,"Both_Significant","Small","Small",0.160980414663966,"Partial","Small"
"meanDTIV_attention_O_r-0.06","meanD_TIV_adjusted_S_Cu__right_merged_with_TIV",-0.15675565549862,0.0379256330078597,-0.154859697823398,0.0437645463678419,"Both_Significant","Small","Small",0.15675565549862,"Direct","Small"
"meanDTIV_attention_O_r-0.06","meanD_TIV_adjusted_S_C__right_merged_with_TIV",-0.127650396372565,0.0847033468586118,-0.148138915675459,0.043971399535271,"Partial_Correlation_Significant","Small","Small",0.148138915675459,"Partial","Small"
