Label,feature,missing_rate
F.C.L._left,SA,0.0
F.C.L._right,SA,0.0
F.C.M.ant._left,SA,0.0
F.C.M.ant._right,SA,0.0
F.C.M.post._left,SA,0.0
F.C.M.post._right,SA,0.0
F.Cal.ant.-Sc.Cal._left,SA,0.0
F.Cal.ant.-Sc.Cal._right,SA,0.0
F.Coll._left,SA,0.0
F.Coll._right,SA,0.0
F.I.P._left,SA,0.0
F.I.P._right,SA,0.0
F.I.P.r.int.2_left,SA,13.373253493013973
F.I.P.r.int.2_right,SA,52.69461077844312
F.P.O._left,SA,0.0
F.P.O._right,SA,0.0
OCCIPITAL_left,SA,0.0
OCCIPITAL_right,SA,0.0
S.C._left,SA,0.0
S.C._right,SA,0.0
S.Call._left,SA,0.0
S.Call._right,SA,0.0
S.Cu._left,SA,1.1976047904191618
S.Cu._right,SA,2.3952095808383236
S.F.inf._left,SA,0.0
S.F.inf._right,SA,0.0
S.F.int._left,SA,0.0
S.F.int._right,SA,0.0
S.F.inter._left,SA,0.0
S.F.inter._right,SA,0.0
S.F.orbitaire._left,SA,12.375249500998004
S.F.orbitaire._right,SA,27.744510978043913
S.F.sup._left,SA,0.0
S.F.sup._right,SA,0.0
S.Li.ant._left,SA,3.1936127744510974
S.Li.ant._right,SA,8.383233532934131
S.Li.post._left,SA,2.5948103792415167
S.Li.post._right,SA,1.996007984031936
S.O.T.lat._left,SA,0.0
S.O.T.lat._right,SA,0.0
S.Olf._left,SA,0.0
S.Olf._right,SA,0.0
S.Or._left,SA,0.0
S.Or._right,SA,0.0
S.Pa.int._left,SA,0.0
S.Pa.int._right,SA,0.0
S.Pa.t._left,SA,30.538922155688624
S.Pa.t._right,SA,21.157684630738522
S.Pe.C._left,SA,0.0
S.Pe.C._right,SA,0.0
S.Po.C._left,SA,0.0
S.Po.C._right,SA,0.0
S.T.i._left,SA,0.0
S.T.i._right,SA,0.0
S.T.s._left,SA,0.0
S.T.s._right,SA,0.0
