term,type,estimate,std_error,statistic,p_value,label,feature,anova_p,Delta_adj_R2,adj_r2_full,BIC,adjusted_p,anova_fdr_p
s(Age),smooth,NA,NA,66.62504923377277,0,S.T.i._left,SW,1.8061248300251236e-12,0.1139629259119549,0.13177565758810916,-762.8019863289088,0,2.8717384797399463e-10
s(Age),smooth,NA,NA,42.176564828286416,0,F.P.O._right,CT,1.7760495917579334e-10,-0.09863409758755715,0.10633164002306306,-207.58367169923963,0,1.411959425447557e-8
s(Age),smooth,NA,NA,65.91442354251765,0,F.I.P._left,CT,2.1398285655009604e-13,-0.0910666625507418,0.10983332394495016,-151.68889138887016,0,6.804654838293054e-11
s(Age),smooth,NA,NA,25.634874203472084,6.618799640589756e-7,S.Olf._left,CT,1.0105709707972948e-6,-0.0830182770065202,0.08181891505859995,267.65481288743894,7.5170653060983665e-6,1.530293184350189e-5
s(Age),smooth,NA,NA,41.16462073510235,0,S.Pa.int._left,CT,4.025586984100488e-8,-0.08122482012678123,0.07823557492074273,101.02576228087747,0,1.0667805507866294e-6
s(Age),smooth,NA,NA,50.20645227005179,0,F.P.O._left,CT,5.515688048761348e-10,-0.08056189907150935,0.09412451144985978,-191.25509381855656,0,2.9233146658435144e-8
s(Age),smooth,NA,NA,32.69899900752822,0,S.Olf._right,SW,2.768332543885179e-6,0.0803449250756696,0.0784603516816551,285.6198464458082,0,3.8275206476325514e-5
s(Age),smooth,NA,NA,32.07357310738163,0,S.Olf._right,CT,3.269072315921126e-6,-0.07267110782000163,0.07496016895951263,373.63871829759205,0,4.158259985851672e-5
s(Age),smooth,NA,NA,42.19059912028276,0,F.C.L._left,CT,6.984337377697234e-8,-0.07186893227003921,0.06882251151830387,-246.3631878316533,0,1.4806795240718135e-6
s(Age),smooth,NA,NA,45.46982383821694,0,F.I.P._right,CT,1.8459163441691998e-9,-0.07144180488757612,0.07694607875922743,-107.00976394592215,0,7.935770669212431e-8
s(Age),smooth,NA,NA,19.49950908946203,4.302524387322926e-7,S.F.inf._left,CT,1.271264058782742e-7,-0.06905670302944777,0.0731782481076686,67.54763729504425,5.700844813202877e-6,2.5266373168307e-6
s(Age),smooth,NA,NA,14.196411803116032,5.944062941076744e-6,S.T.i._right,SW,5.962949078545588e-5,0.06720331652085643,0.09766477230612136,-924.5301871522112,4.295936398323647e-5,4.40980885343604e-4
s(Age),smooth,NA,NA,31.587645352049435,0,S.T.s._left,CT,5.506141779166901e-11,-0.06543290090742926,0.06550166334148577,-29.698993715764253,0,5.836510285916915e-9
s(Age),smooth,NA,NA,18.773097137990028,1.5897314584456534e-5,F.Cal.ant.-Sc.Cal._left,CT,8.751964990444467e-5,-0.05937497492522015,0.05766401028327661,-63.22902741937142,9.912443211484663e-5,6.145889665275232e-4
s(Age),smooth,NA,NA,11.446446307595501,4.7720847660692733e-5,F.C.L._left,SW,2.8667856679828415e-4,0.05829728830836434,0.07924977468108474,108.55295906464171,2.529204926016715e-4,0.0014703836168041026
s(Age),smooth,NA,NA,21.436140191148475,4.131404949925255e-6,S.Cu._left,CT,2.3674023201793223e-5,-0.0578793237095373,0.05521530895217708,251.64042177662913,3.12806374780055e-5,2.2142174641677192e-4
s(Age),smooth,NA,NA,35.09854486103295,0,S.Po.C._left,CT,2.825869636037849e-7,-0.057317918630746645,0.05490611995297923,-121.72146046560891,0,4.989040828012689e-6
s(Age),smooth,NA,NA,31.041621480518764,0,S.Pa.int._right,CT,4.273198355071314e-6,-0.057294606255221536,0.05965255532423952,92.3623112413191,0,5.226450295817992e-5
s(Age),smooth,NA,NA,29.271683752587098,0,S.F.inf._right,SW,1.6319196971671229e-7,0.053819422888590096,0.08194398403935821,-424.7656451962153,0,3.0526497864655596e-6
s(Age),smooth,NA,NA,31.553220032317963,0,S.F.inter._right,CT,6.247335174527766e-6,-0.05358571644765031,0.06021423460086661,62.26236448529505,0,6.850526156895964e-5
s(Age),smooth,NA,NA,36.09407006126712,0,S.T.i._left,CT,2.980873450699405e-7,-0.05332260221416174,0.051194534564507066,-66.29003227077888,0,4.989040828012689e-6
s(Age),smooth,NA,NA,23.019009420152955,2.2903868617252243e-6,S.Olf._left,SW,2.7252097166976987e-4,0.052978172857331196,0.05266336422714002,274.4345930544277,2.023175061190615e-5,0.0014351787494488353
s(Age),smooth,NA,NA,21.528463985732067,4.094109427088544e-6,S.Cu._right,CT,1.8673325905036676e-4,-0.0517914983386506,0.051239780045329586,250.11456686583307,3.12806374780055e-5,0.0010796577523275752
s(Age),smooth,NA,NA,25.097783001480256,9.5926492738041e-7,S.O.T.lat._right,CT,1.1988782113898828e-4,-0.051360708534483934,0.04902013938400984,-223.5925769841593,1.0518836100240356e-5,7.780474922897606e-4
s(Age),smooth,NA,NA,40.662532939347244,0,S.F.inf._right,CT,5.9056445385337075e-8,-0.05119735690104166,0.04894608887254848,82.31131364638753,0,1.3414249737526564e-6
s(Age),smooth,NA,NA,30.449920844114715,0,S.Or._left,CT,7.4849836329474295e-6,-0.04808842786302081,0.04651893368361437,43.103293101969385,0,7.678144500894459e-5
s(Age),smooth,NA,NA,16.072141374794445,7.903222468663706e-5,F.C.M.post._right,CT,0.0012470725483209883,-0.047340561229406,0.04789530997667901,-4.018297021689463,3.7369440811208296e-4,0.004665518474894992
s(Age),smooth,NA,NA,27.86035522416108,3.185765671820384e-7,S.Po.C._right,CT,3.1082073380953415e-6,-0.04719495006193619,0.04606522268787838,-33.52294539563887,4.404667320169053e-6,4.1183747229763276e-5
s(Age),smooth,NA,NA,22.117974199573922,1.3094498746424321e-6,S.T.i._right,CT,6.885501826358555e-5,-0.04683151454649148,0.0449915464889008,-123.64422217979454,1.2618335155645255e-5,4.976339956322774e-4
s(Age),smooth,NA,NA,27.67182608060304,4.906402386595232e-7,F.C.L._left,SA_resid,8.635357946646676e-9,-0.04522663088425127,0.04900957676458251,7004.952329980846,6.240943835749136e-6,2.746043827033643e-7
s(Age),smooth,NA,NA,21.88550028415969,3.964300736902793e-6,S.Olf._right,maxD_resid,1.226177072106374e-4,-0.04470521420755347,0.049270185113159615,1414.3054967789378,3.12806374780055e-5,7.798486178596539e-4
s(Age),smooth,NA,NA,17.16925261431109,4.0099819205330345e-5,F.P.O._right,SW,4.161525711935917e-4,0.041190614580370766,0.06524339902654819,-433.3330623436757,2.189440264061189e-4,0.001946125259405326
s(Age),smooth,NA,NA,24.332075381286003,1.0554981628718707e-6,F.I.P._left,SA_resid,5.1959254059958316e-8,-0.04083350088867155,0.04163805201135151,7539.31778623143,1.0827368251395318e-5,1.2710032916205187e-6
s(Age),smooth,NA,NA,34.85902436447944,0,S.Pa.int._right,SA_resid,2.2758744926452965e-10,-0.04030144672482405,0.05714352193314598,7060.984340238134,0,1.4474561773224086e-8
s(Age),smooth,NA,NA,29.35939545015195,0,S.Or._right,CT,1.2484480300384206e-5,-0.0402656013529924,0.03990018687245811,65.70769996277663,0,1.2406452298506805e-4
s(Age),smooth,NA,NA,25.957560375922554,1.0480861766803962e-6,S.Olf._right,meanD_resid,2.8800020386217144e-5,-0.039979582013788484,0.046062782853885875,1107.262042045106,1.0827368251395318e-5,2.3483093545684745e-4
s(Age),smooth,NA,NA,27.660656904829985,5.127378178704234e-7,F.C.L._right,SA_resid,8.571208689540442e-9,-0.0398760003003078,0.0421961876155752,7132.181578490157,6.271177926261332e-6,2.746043827033643e-7
s(Age),smooth,NA,NA,22.36228269988986,3.355737524857183e-6,S.T.s._right,CT,5.878174547290147e-4,-0.03893854275059816,0.03891413126201915,-37.03880816108481,2.7362167510373953e-5,0.0025606294603263925
s(Age),smooth,NA,NA,28.496148567857762,2.1541745254261002e-7,S.Or._right,SA_resid,2.164994325445851e-8,-0.037124403523831395,0.034671270566971835,6555.150329867179,3.113761359479545e-6,6.258801777198007e-7
s(Age),smooth,NA,NA,27.42926009229559,5.828282589881439e-7,F.C.M.ant._left,CT,2.6597219915997457e-5,-0.03674877714082381,0.04778883299152792,299.7333575209553,6.864421716971473e-6,2.347437944339719e-4
s(Age),smooth,NA,NA,13.514150361994195,1.4285826695714654e-5,S.O.T.lat._left,SW,2.7530158401377027e-4,0.0366583917388682,0.040140414210454556,-853.0453670053178,9.271209978035224e-5,0.0014351787494488353
s(Age),smooth,NA,NA,21.123878722497583,2.0107137849723067e-6,S.T.s._left,SW,1.6320959924871924e-4,0.036631307889445464,0.05357910924660447,-186.33505437794534,1.826877096060553e-5,9.611231955757912e-4
